1674590400000,23020.16000000,23042.08000000,22878.94000000,23012.53000000,5179.13591000,1674593999999,118961960.79111700,115136,2607.74092000,59903742.34298430,0
1674594000000,23012.66000000,23082.50000000,22820.22000000,22904.16000000,5842.67516000,1674597599999,134201414.18205750,119886,2903.59470000,66698327.66841690,0
1674597600000,22904.66000000,22927.66000000,22673.07000000,22757.84000000,8681.00875000,1674601199999,197939734.85126170,156204,4177.87849000,95274409.97447090,0
1674601200000,22757.27000000,22786.19000000,22460.00000000,22636.09000000,11762.52674000,1674604799999,266051035.07030150,197539,5688.37403000,128666994.20177150,0
1674604800000,22636.09000000,22713.45000000,22500.59000000,22654.75000000,11427.38699000,1674608399999,258508227.38577930,169130,5771.33759000,130563287.20814560,0
1674608400000,22654.83000000,22668.66000000,22330.00000000,22494.75000000,12712.23421000,1674611999999,285895338.65706120,181693,6306.23472000,141831237.27571820,0
1674612000000,22495.42000000,22596.65000000,22485.00000000,22553.21000000,5638.65840000,1674615599999,127157702.21388860,100330,2819.65176000,63587020.64507910,0
1674615600000,22553.45000000,22653.47000000,22538.66000000,22646.40000000,5293.49312000,1674619199999,119683570.19091130,95068,2723.43601000,61575671.49351280,0
1674619200000,22646.27000000,22664.48000000,22625.40000000,22630.00000000,3828.50404000,1674622799999,86692739.84765550,74195,1842.21747000,41716188.53496770,0
1674622800000,22630.00000000,22737.73000000,22611.08000000,22676.27000000,4591.53424000,1674626399999,104077409.68276760,90200,2401.86120000,54444579.40057450,0
1674626400000,22676.27000000,22743.66000000,22638.15000000,22717.24000000,4798.89459000,1674629999999,108926962.79730780,96921,2459.79522000,55833342.76729440,0
1674630000000,22717.54000000,22776.75000000,22700.28000000,22717.70000000,5009.85727000,1674633599999,113883319.10265240,97673,2478.58182000,56343304.18339820,0
1674633600000,22716.62000000,22743.74000000,22661.16000000,22666.02000000,4889.63198000,1674637199999,110981400.44742290,97023,2427.92297000,55107021.74128410,0
1674637200000,22665.48000000,22716.08000000,22577.04000000,22610.38000000,6245.42215000,1674640799999,141444124.96689440,121833,3072.59505000,69589666.46580770,0
1674640800000,22612.80000000,22634.74000000,22480.19000000,22614.64000000,7987.94488000,1674644399999,180333901.72991760,137101,3950.63349000,89191422.24382780,0
1674644400000,22615.54000000,22631.32000000,22563.90000000,22602.57000000,4282.68151000,1674647999999,96808616.13027740,79846,2128.31524000,48110959.29855840,0
1674648000000,22601.57000000,22747.78000000,22595.74000000,22696.33000000,9211.58749000,1674651599999,209039360.01788630,150825,4678.03150000,106157605.25972150,0
1674651600000,22695.34000000,22729.18000000,22570.27000000,22599.16000000,5930.76441000,1674655199999,134369481.61698260,116922,2947.29859000,66776674.04909800,0
1674655200000,22598.58000000,22628.26000000,22415.10000000,22437.46000000,11012.52998000,1674658799999,248168882.10902840,186682,5417.27220000,122087433.47741190,0
1674658800000,22438.40000000,22605.96000000,22338.17000000,22578.98000000,11544.83807000,1674662399999,259760459.67199100,191903,5793.68785000,130366567.94995640,0
1674662400000,22580.15000000,22692.85000000,22520.64000000,22632.30000000,7833.01610000,1674665999999,177140548.30422540,139406,3977.46325000,89950370.53611610,0
1674666000000,22632.54000000,22655.29000000,22512.73000000,22571.02000000,5802.42015000,1674669599999,131008488.66382260,103399,2889.62550000,65243437.83539800,0
1674669600000,22571.09000000,22729.99000000,22556.77000000,22727.36000000,4929.17608000,1674673199999,111603391.53533090,111566,2542.12007000,57559496.06777670,0
1674673200000,22727.36000000,22763.71000000,22655.80000000,22749.15000000,5836.94600000,1674676799999,132581811.42652770,113567,2886.15573000,65556712.51794280,0
1674676800000,22749.06000000,22954.00000000,22747.82000000,22939.34000000,10141.26473000,1674680399999,232036893.69634780,172760,5035.93435000,115227784.50933420,0
1674680400000,22938.66000000,23707.67000000,22834.65000000,23596.74000000,19415.53366000,1674683999999,450539213.92099030,313117,10115.96454000,234770679.90399940,0
1674684000000,23596.25000000,23821.96000000,22826.03000000,22936.54000000,20201.76155000,1674687599999,472101203.42681140,322451,9907.00156000,231562215.01195160,0
1674687600000,22938.03000000,23217.02000000,22885.37000000,23062.97000000,10609.18543000,1674691199999,244709687.87454820,184794,5306.99823000,122415379.29614920,0
1674691200000,23065.73000000,23287.44000000,23045.22000000,23243.08000000,11457.41566000,1674694799999,265169664.71057350,164940,5791.25852000,134039239.53440100,0
1674694800000,23244.45000000,23250.91000000,23136.64000000,23165.75000000,8195.22533000,1674698399999,190122569.95264620,120436,3955.97470000,91776578.46031830,0
1674698400000,23165.80000000,23270.02000000,23142.52000000,23183.04000000,6971.07757000,1674701999999,161734529.90861180,103967,3414.17378000,79214997.12578880,0
1674702000000,23183.67000000,23234.74000000,23109.00000000,23139.50000000,5692.72994000,1674705599999,131925032.73151590,95471,2774.73731000,64303616.07935500,0
1674705600000,23139.50000000,23201.28000000,23108.72000000,23182.41000000,5038.02360000,1674709199999,116657248.93269180,90210,2519.94543000,58351761.24645030,0
1674709200000,23182.43000000,23196.06000000,23133.38000000,23151.97000000,4314.12504000,1674712799999,99943342.08713220,80484,2072.17291000,48006760.09165400,0
1674712800000,23150.29000000,23167.11000000,22868.27000000,23091.03000000,10870.73826000,1674716399999,250534712.78460590,167850,5375.75927000,123897848.02875300,0
1674716400000,23092.41000000,23100.00000000,22953.95000000,22970.62000000,6493.72399000,1674719999999,149492193.52222660,112774,3165.86162000,72880439.17775630,0
1674720000000,22970.96000000,23051.18000000,22926.08000000,23007.71000000,5653.22401000,1674723599999,130048893.60306440,100006,2764.96116000,63606826.72856250,0
